2026-07-22 23:09:42,755 | INFO    | 04_train_classical:92 |   CV MAcc     : 0.8488 ± 0.0143
2026-07-22 23:09:42,756 | INFO    | 04_train_classical:94 |   train MAcc  : 0.8772 (gap +0.0732)
2026-07-22 23:09:45,061 | INFO    | 04_train_classical:123 |   val MAcc (segment)   : 0.7892
2026-07-22 23:09:45,061 | INFO    | 04_train_classical:124 |   val MAcc (recording) : 0.7757
2026-07-22 23:09:45,061 | INFO    | 04_train_classical:125 |   tuned threshold      : 0.22 -> val MAcc 0.8636
2026-07-22 23:09:45,639 | INFO    | 04_train_classical:82 | --- rf_pwp ---
2026-07-22 23:09:46,508 | INFO    | 04_train_classical:233 |   prune on 9069/30695 segments (4/recording, 20.5% abnormal vs 23.3% full)
2026-07-22 23:15:46,713 | INFO    | 04_train_classical:233 |   re-scoring top 3 candidates on all 30695 segments
2026-07-22 23:16:14,885 | INFO    | 04_train_classical:233 |     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 200}  full CV balanced_accuracy 0.8141
2026-07-22 23:19:23,534 | INFO    | 04_train_classical:233 |     {'max_depth': 10, 'max_features': 0.3, 'min_samples_leaf': 5, 'n_estimators': 500}  full CV balanced_accuracy 0.8133
2026-07-22 23:20:33,855 | INFO    | 04_train_classical:233 |     {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}  full CV balanced_accuracy 0.8141
2026-07-22 23:21:43,540 | INFO    | 04_train_classical:233 |   selected {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}  CV balanced_accuracy 0.8141 ± 0.0229
2026-07-22 23:21:43,541 | INFO    | 04_train_classical:233 |   refitting on all 30695 segments (probability=True restored for SVM)
2026-07-22 23:21:50,620 | INFO    | 04_train_classical:91 |   best params : {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'n_estimators': 500}
2026-07-22 23:21:50,621 | INFO    | 04_train_classical:92 |   CV MAcc     : 0.8141 ± 0.0229
2026-07-22 23:21:50,621 | INFO    | 04_train_classical:94 |   train MAcc  : 0.9447 (gap +0.1982)
2026-07-22 23:21:50,622 | WARNING | 04_train_classical:99 |   rf: train-CV gap is 0.198 (train 0.945 vs CV 0.814). The model is memorising the training folds; consider stronger regularisation (lower C for SVM, higher min_samples_leaf for RF).
2026-07-22 23:21:50,883 | INFO    | 04_train_classical:123 |   val MAcc (segment)   : 0.8388
2026-07-22 23:21:50,883 | INFO    | 04_train_classical:124 |   val MAcc (recording) : 0.8248
2026-07-22 23:21:50,884 | INFO    | 04_train_classical:125 |   tuned threshold      : 0.36 -> val MAcc 0.8390
2026-07-22 23:21:53,732 | INFO    | 04_train_classical:180 | Summary written to /workspace/apr-heart-sounds/reports/phase_04_train_classical/summary.md
